Category,Item,Type/Rarity,Field,Value,Notes
Movement,Ground Movement,Core,maxGroundSpeed,330,Max horizontal ground speed (px/s)
Movement,Ground Movement,Core,groundAcceleration,2700,Horizontal accel while grounded (px/s^2)
Movement,Ground Movement,Core,airAcceleration,2050,Horizontal accel while airborne (px/s^2)
Movement,Ground Movement,Core,groundFriction,3600,Deceleration toward 0 vx with no input WHILE GROUNDED ONLY (px/s^2) - no air friction exists at all
Movement,Ground Movement,Core,crouchSpeedFactor,0.42,Multiplier on max ground speed while crouching
Movement,Jump,Core,jumpVelocity,-635,Initial upward launch velocity on jump (px/s)
Movement,Jump,Core,jumpCutMultiplier,0.48,Multiplier on upward vy when jump released early (variable jump height)
Movement,Jump,Core,coyoteMs,110,Coyote-time window after leaving ground where jump still registers (ms)
Movement,Jump,Core,jumpBufferMs,110,Jump input buffer window before landing (ms)
Movement,Gravity,Core,gravity,1450,Base gravity while rising / vy<0 (px/s^2)
Movement,Gravity,Core,descentGravity,2175,Gravity while falling normally - asymmetric jump gravity (px/s^2)
Movement,Gravity,Core,fastFallGravity,2800,Gravity while falling AND holding Down (px/s^2)
Movement,Gravity,Core,maxFallSpeed,900,Terminal fall speed clamp (px/s)
Movement,Wall,Core,wallSlideMaxFall,175,Capped fall speed while gripping a wall (px/s)
Movement,Wall,Core,wallJumpVy,-720,Vertical launch velocity on wall-jump - stronger than floor jump (px/s)
Movement,Wall,Core,wallJumpVx,470,Horizontal shove velocity away from wall on wall-jump (px/s)
Movement,Wall,Core,wallRestitution,0.5,Rebound velocity fraction when hitting a wall at speed without gripping
Movement,Wall,Core,wallLatchCatchVy,90,Fall-speed threshold below which a fresh wall-touch latches near-zero vy
Movement,Dash,Core,DASH_SPEED,780,Horizontal dash burst velocity (px/s)
Movement,Dash,Core,DASH_COOLDOWN_MS,520,Cooldown between dash uses (ms)
Movement,Dash,Core,DASH_DURATION_MS,150,How long the dash burst holds max speed before normal clamp resumes (ms)
Movement,Body,Core,bodyWidth,26,Player collision AABB width (px)
Movement,Body,Core,bodyHeight,56,Player collision AABB height standing (px)
Movement,Body,Core,crouchHeight,38,Player collision AABB height crouched (px)
Movement,Body,Core,PLAYER_RADIUS,18,Approx hit-circle radius used by combat/AOE math (duplicated literal in destructible.ts/fire.ts/projectile.ts - no single source of truth)
Movement,Void,Core,KILL_PLANE_MARGIN_PX,200,Distance below map bottom edge before a player is force-killed
Movement,Jetpack (legacy/unused),Dead code,JETPACK_MAX_FUEL,125,Field pinned to max - jetpack removed from design
Movement,Jetpack (legacy/unused),Dead code,JETPACK_THRUST,1480,Unused
Movement,Jetpack (legacy/unused),Dead code,JETPACK_FUEL_DRAIN_PER_SECOND,32,Unused
Movement,Jetpack (legacy/unused),Dead code,JETPACK_GROUND_RECHARGE_PER_SECOND,64,Unused
Movement,Jetpack (legacy/unused),Dead code,JETPACK_AIR_RECHARGE_PER_SECOND,10,Unused
Movement,Jetpack (legacy/unused),Dead code,JETPACK_MIN_UPWARD_VELOCITY,-640,Unused
Weapon Base,starter-pistol,Weapon,damage,10,Base damage per projectile hit
Weapon Base,starter-pistol,Weapon,fireRate,4,Shots per second
Weapon Base,starter-pistol,Weapon,magazineSize,8,Rounds per magazine
Weapon Base,starter-pistol,Weapon,reloadSeconds,1.1,Reload duration (s)
Weapon Base,starter-pistol,Weapon,projectileSpeed,650,Base projectile travel speed (px/s)
Weapon Base,starter-pistol,Weapon,projectileLifetimeSeconds,1.2,Max projectile lifetime (s)
Weapon Base,starter-pistol,Weapon,spreadRadians,0.03,Base shot spread cone (radians)
Weapon Base,starter-pistol,Weapon,recoilImpulse,95,Recoil push-back applied to shooter on fire
Weapon Base,starter-pistol,Weapon,knockbackImpulse,120,Knockback applied to target on hit - defined but not yet read by combat code
Weapon Base,starter-pistol,Weapon,projectile.rangePx,720,Max travel distance before expiry (px)
Weapon Base,starter-pistol,Weapon,neutralTTK (derived),2.5,"100 HP / (10 dmg x 4/s) = 2.5s; design target band is 1.8s-3.5s"
Weapon Base,Muzzle,Constant,MUZZLE_CHEST_UP,50,Muzzle spawn offset above player center along rig chest (px)
Weapon Base,Muzzle,Constant,MUZZLE_REACH,46,Distance muzzle extends from chest toward aim (px)
Weapon Base,Fire Rate Floor,Constant,MIN_FIRE_RATE,0.35,Floor cadence used if resolved build's fireRate is 0/missing (shots/s)
Card,raycast-prism,rare / cost 4 / unique,damageMultiplier,0.9,-10% dmg for hitscan delivery
Card,raycast-prism,rare / cost 4 / unique,recoilMultiplier,0.8,-20% recoil
Card,raycast-prism,rare / cost 4 / unique,projectile.rangePx,880,Extended hitscan range
Card,raycast-prism,rare / cost 4 / unique,projectile.impactRadiusPx,12,Small impact radius
Card,crystal-volley,common / cost 1 / unique,projectile.count,1,Baseline reset card - hexagon shape
Card,circle-rounds,common / cost 1 / unique,projectileSpeedMultiplier,1.08,+8% speed
Card,circle-rounds,common / cost 1 / unique,projectile.sizeMultiplier,0.92,-8% size
Card,triangle-rounds,common / cost 1 / unique,damageMultiplier,1.12,+12% dmg
Card,triangle-rounds,common / cost 1 / unique,recoilMultiplier,1.14,+14% recoil
Card,triangle-rounds,common / cost 1 / unique,projectile.sizeMultiplier,1.02,+2% size
Card,square-rounds,uncommon / cost 2 / unique,projectileSpeedMultiplier,0.88,-12% speed
Card,square-rounds,uncommon / cost 2 / unique,knockbackMultiplier,1.18,+18% knockback
Card,square-rounds,uncommon / cost 2 / unique,projectile.sizeMultiplier,1.22,+22% size
Card,x-rounds,uncommon / cost 2 / unique,damageMultiplier,1.06,+6% dmg
Card,x-rounds,uncommon / cost 2 / unique,projectile.sizeMultiplier,1.08,+8% size
Card,i-rounds,uncommon / cost 2 / unique,damageMultiplier,1.16,+16% dmg
Card,i-rounds,uncommon / cost 2 / unique,projectileSpeedMultiplier,0.94,-6% speed
Card,i-rounds,uncommon / cost 2 / unique,projectile.sizeMultiplier,1.12,+12% size
Card,orby-blap-blap,rare / cost 4 / unique,damageMultiplier,0.78,-22% dmg
Card,orby-blap-blap,rare / cost 4 / unique,projectileSpeedMultiplier,0.72,-28% speed
Card,orby-blap-blap,rare / cost 4 / unique,spreadRadians,0.314,Fixed 18deg spread (overrides base)
Card,orby-blap-blap,rare / cost 4 / unique,projectile.count,2,Two projectiles per shot
Card,orby-blap-blap,rare / cost 4 / unique,projectile.sizeMultiplier,1.38,+38% size
Card,orby-blap-blap,rare / cost 4 / unique,projectile.impactRadiusPx,36,Impact radius
Card,continuous-refractor,rare / cost 5 / unique,damageMultiplier,0.42,-58% dmg per-tick beam
Card,continuous-refractor,rare / cost 5 / unique,fireRateMultiplier,2.4,+140% fire rate - beam cadence
Card,continuous-refractor,rare / cost 5 / unique,projectile.rangePx,760,Beam range
Card,continuous-refractor,rare / cost 5 / unique,slowMultiplier,0.72,Slow-field impact on hit
Card,shard-bloom,rare / cost 5 / max 3,damageMultiplier,0.54,-46% dmg
Card,shard-bloom,rare / cost 5 / max 3,fireRateMultiplier,0.82,-18% fire rate
Card,shard-bloom,rare / cost 5 / max 3,recoilMultiplier,1.24,+24% recoil
Card,shard-bloom,rare / cost 5 / max 3,spreadRadiansAdd,0.663,+38deg spread added
Card,shard-bloom,rare / cost 5 / max 3,projectileCountAdd,5,+5 projectiles
Card,shard-bloom,rare / cost 5 / max 3,projectile.sizeMultiplier,0.78,-22% size
Card,shard-bloom,rare / cost 5 / max 3,projectile.rangePx,390,Short range
Card,arc-shards,common / cost 2,projectileSpeedMultiplier,0.86,-14% speed
Card,arc-shards,common / cost 2,gravityScale,560,Arc pathing accel (px/s^2)
